permalink,company,numEmps,category,city,state,fundedDate,raisedAmt,raisedCurrency,round
lifelock,LifeLock,1,web,Tempe,AZ,1-May-07,6850000,USD,b
lifelock,LifeLock,2,web,Tempe,AZ,1-Oct-06,6000000,USD,a
lifelock,LifeLock,3,web,Tempe,AZ,1-Jan-08,25000000,USD,c
mycityfaces,MyCityFaces,4,web,Scottsdale,AZ,1-Jan-08,50000,USD,seed
flypaper,Flypaper,5,web,Phoenix,AZ,1-Feb-08,3000000,USD,a
infusionsoft,Infusionsoft,6,software,Gilbert,AZ,1-Oct-07,9000000,USD,a
gauto,gAuto,7,web,Scottsdale,AZ,1-Jan-08,250000,USD,seed
chosenlist-com,ChosenList.com,8,web,Scottsdale,AZ,1-Oct-06,140000,USD,seed
chosenlist-com,ChosenList.com,9,web,Scottsdale,AZ,25-Jan-08,233750,USD,angel
digg,Digg,10,web,San Francisco,CA,1-Dec-06,8500000,USD,b
digg,Digg,11,web,San Francisco,CA,1-Oct-05,2800000,USD,a
facebook,Facebook,12,web,Palo Alto,CA,1-Sep-04,500000,USD,angel
facebook,Facebook,13,web,Palo Alto,CA,1-May-05,12700000,USD,a
facebook,Facebook,14,web,Palo Alto,CA,1-Apr-06,27500000,USD,b
facebook,Facebook,15,web,Palo Alto,CA,1-Oct-07,300000000,USD,c
facebook,Facebook,16,web,Palo Alto,CA,1-Mar-08,40000000,USD,c
facebook,Facebook,17,web,Palo Alto,CA,15-Jan-08,15000000,USD,c
facebook,Facebook,18,web,Palo Alto,CA,1-May-08,100000000,USD,debt_round
photobucket,Photobucket,19,web,Palo Alto,CA,1-May-06,10500000,USD,b
photobucket,Photobucket,20,web,Palo Alto,CA,1-Mar-05,3000000,USD,a
omnidrive,Omnidrive,21,web,Palo Alto,CA,1-Dec-06,800000,USD,angel
geni,Geni,22,web,West Hollywood,CA,1-Jan-07,1500000,USD,a
geni,Geni,23,web,West Hollywood,CA,1-Mar-07,10000000,USD,b
twitter,Twitter,24,web,San Francisco,CA,1-Jul-07,5400000,USD,b
twitter,Twitter,25,web,San Francisco,CA,1-May-08,15000000,USD,c
stumbleupon,StumbleUpon,26,web,San Francisco,CA,1-Dec-05,1500000,USD,seed
gizmoz,Gizmoz,27,web,Menlo Park,CA,1-May-07,6300000,USD,a
gizmoz,Gizmoz,28,web,Menlo Park,CA,16-Mar-08,6500000,USD,b
scribd,Scribd,29,web,San Francisco,CA,1-Jun-06,12000,USD,seed
scribd,Scribd,30,web,San Francisco,CA,1-Jan-07,40000,USD,angel
scribd,Scribd,31,web,San Francisco,CA,1-Jun-07,3710000,USD,a
slacker,Slacker,32,web,San Diego,CA,1-Jun-07,40000000,USD,b
slacker,Slacker,33,web,San Diego,CA,1-Jun-07,13500000,USD,a
